date,timestamp,period,period_type,count,houston_humidity_zscore,dallas_zscore,la_precipitation_zscore,nyc_precipitation_iqr,phoenix_humidity_iqr,philadelphia_pressure_zscore,nyc_pressure_iqr,seattle_wind_speed_zscore,la_precipitation_iqr,philadelphia_precipitation_iqr,nyc_precipitation_zscore,nyc_wind_speed_zscore,seattle_precipitation_zscore,nyc_pressure_zscore,dallas_precipitation_zscore,san antonio_zscore,philadelphia_pressure_iqr,phoenix_wind_speed_zscore,la_pressure_zscore,philadelphia_wind_speed_iqr,philadelphia_precipitation_zscore,seattle_humidity_iqr,phoenix_precipitation_zscore,houston_zscore,la_wind_speed_zscore,houston_humidity_iqr,seattle_humidity_zscore,houston_wind_speed_iqr,philadelphia_wind_speed_zscore,seattle_precipitation_iqr,la_pressure_iqr,phoenix_precipitation_iqr,houston_iqr,dallas_iqr,houston_pressure_zscore,seattle_pressure_iqr,dallas_precipitation_iqr,phoenix_pressure_iqr,houston_precipitation_zscore,seattle_pressure_zscore,dallas_pressure_iqr,dallas_wind_speed_zscore,seattle_wind_speed_iqr,san antonio_iqr,dallas_wind_speed_iqr,la_wind_speed_iqr,phoenix_wind_speed_iqr,phoenix_pressure_zscore,houston_pressure_iqr,seattle_temperature_iqr,houston_precipitation_iqr,nyc_wind_speed_iqr
2020-01-08 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,,,,,,,,,,,,,,,,,,,,,,
2018-07-06 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,,,,,
2018-11-13 09:00:00,,,,,,,,0.0118,,,,,,0.0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18344.11,,,,,,,,,,,,,,,,,,,
2019-10-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0591,
2019-07-15 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0305,
2019-02-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.5,,,,,,,,,,,,,,
2018-07-21 19:00:00,,,,,,3.0892167814906846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18554.4,24891.37,,,,,,,,,,11579.04,,,,,,,,
2018-06-25 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21833.49,,,,,,,,,,,,,,,,,,
2018-09-10 17:00:00,,,,,,,,,,,,,,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-20 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0448,,,,,,,,,,,,,,,
2019-05-08 06:00:00,,,,,,,,0.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,
2019-08-08 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18182.42,,,,,,,,,,,11594.87,,,,,,,,
2019-06-22 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17934.09,,,,,,,,,,,,,,,,,,,
2019-03-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,3.421307239533346,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25 19:00:00,,,,,,,,,,,,,,0.2483,,,,,,,,,,15.77,7.867076664844591,,,,,,,,,0.0139,,,,,,,,,,,,,,,,,,,,,,
2018-05-31 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18908.91,21822.79,,,,,,,,,,11065.73,,,,,,,,
2018-07-26 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19642.81,24450.05,,,,,,,,,,11207.92,,,,,,,,
2019-08-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11162.28,,,,,,,,
2019-08-15 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18611.16,22437.78,,,,,,,,,,11263.24,,,,,,,,
2019-08-05 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10719.53,,,,,,,,
2019-08-23 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12048.97,,,,,,,,
2019-08-09 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19119.34,21831.15,,,,,,,,,,10690.66,,,,,,,,
2019-05-08 17:00:00,,,,,,,,,,,,,,,,,,,3.1629023355316623,,,,,,,,,,,,,,,,,,,,,,0.0785,,,,,,,,,,,,,,,
2019-02-25 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,15.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-12 15:00:00,,,,,,,,0.0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06 05:00:00,,,,,,,4.0507729664769885,,,,,,0.0524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-30 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19202.41,,,,,,,,,,,12164.62,,,,,,,,
2019-09-09 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18315.92,,,,,,,,,,,,,,,,,,,
2019-07-03 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0242,
2019-07-23 10:00:00,,,,,,,,0.0472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,15.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-20 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22575.15,,,,,,,,,,,,,,,,,,
2018-11-16 09:00:00,,,,,,,,,,,,,,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09 02:00:00,,,,,,,,,,,,,,,,,,,,,,4.040698176436555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.83,,,,,
